descripcion,causa
229/09/201009905-2010-0219  CONTRA LA VIDA,99052010021
324/09/201009905-2010-0218  OCULTACION DE BIENES,99052010021
423/09/201009905-2010-0216  ROBO,99052010021
523/09/201009905-2010-0217  ESTUPEFACIENTES,99052010021
622/09/201009905-2010-0214  ROBO,99052010021
720/09/201009905-2010-0212  ROBO,99052010021
820/09/201009905-2010-0213  TENENCIA DE ARMAS,99052010021
917/09/201009905-2010-0211  ROBO,99052010021
1016/09/201009905-2010-0210  ROBO,99052010021
114/10/201009905-2010-0229  ASESINATO,99052010022
212/10/201009905-2010-0227  ROBO,99052010022
312/10/201009905-2010-0228  TENENCIA DE ARMAS,99052010022
407/10/201009905-2010-0226  LESIONES,99052010022
506/10/201009905-2010-0225  OCULTACION DE BIENES,99052010022
605/10/201009905-2010-0224  ROBO,99052010022
704/10/201009905-2010-0223  ROBO,99052010022
830/09/201009905-2010-0221  ROBO,99052010022
929/09/201009905-2010-0220  ROBO,99052010022
126/10/201009905-2010-0239  OCULTACION DE BIENES,99052010023
225/10/201009905-2010-0236  RECUSACION,99052010023
325/10/201009905-2010-0237  ROBO,99052010023
425/10/201009905-2010-0238  ROBO,99052010023
522/10/201009905-2010-0235  USURA Y CASAS DE PRESTAMO SOBRE PRENDAS,99052010023
621/10/201009905-2010-0233  TENENCIA DE ARMAS,99052010023
718/10/201009905-2010-0232  TENENCIA DE ARMAS,99052010023
815/10/201009905-2010-0230  ROBO,99052010023
915/10/201009905-2010-0231  ROBO,99052010023
111/11/201009905-2010-0248  ROBO,99052010024
211/11/201009905-2010-0249  ROBO,99052010024
309/11/201009905-2010-0247  ESTUPEFACIENTES,99052010024
408/11/201009905-2010-0245  ROBO,99052010024
508/11/201009905-2010-0246  TENENCIA DE ARMAS,99052010024
604/11/201009905-2010-0243  TENENCIA DE ARMAS,99052010024
704/11/201009905-2010-0244  TENENCIA DE ARMAS,99052010024
829/10/201009905-2010-0242  ROBO,99052010024
928/10/201009905-2010-0241  ROBO,99052010024
1027/10/201009905-2010-0240  ROBO,99052010024
124/11/201009905-2010-0259  ESTUPEFACIENTES,99052010025
223/11/201009905-2010-0256  ROBO,99052010025
323/11/201009905-2010-0257  EXTORSION,99052010025
418/11/201009905-2010-0253  TENENCIA DE ARMAS,99052010025
"518/11/201009905-2010-0254  USURPACIÓN DE FUNCIONES, TÍTULOS Y NOMBRES.",99052010025
616/11/201009905-2010-0252  ROBO,99052010025
715/11/201009905-2010-0250  ESTAFA,99052010025
815/11/201009905-2010-0251  USO DOLOSO DE DOCUMENTOS FALSOS,99052010025
103/12/201009905-2010-0266  EL ROBO,99052010026
203/12/201009905-2010-0267  LESIONES,99052010026
303/12/201009905-2010-0268  ROBO,99052010026
401/12/201009905-2010-0265  ESTUPEFACIENTES,99052010026
530/11/201009905-2010-0264  ROBO,99052010026
626/11/201009905-2010-0263  ROBO,99052010026
725/11/201009905-2010-0261  TENENCIA DE ARMAS,99052010026
825/11/201009905-2010-0262  TENENCIA DE ARMAS,99052010026
924/11/201009905-2010-0260  ESTUPEFACIENTES,99052010026
122/12/201009905-2010-0279  ROBO,99052010027
220/12/201009905-2010-0278  ROBO,99052010027
317/12/201009905-2010-0277  TENENCIA DE ARMAS,99052010027
416/12/201009905-2010-0276  TENENCIA DE ARMAS,99052010027
515/12/201009905-2010-0275  ROBO,99052010027
613/12/201009905-2010-0274  TENENCIA DE ARMAS,99052010027
710/12/201009905-2010-0273  TENTATIVA DE ROBO,99052010027
809/12/201009905-2010-0271  OCULTACION DE BIENES,99052010027
909/12/201009905-2010-0272  ESTUPEFACIENTES,99052010027
1007/12/201009905-2010-0270  ROBO,99052010027
130/12/201009905-2010-0284  TENENCIA DE ARMAS,99052010028
230/12/201009905-2010-0285  ROBO,99052010028
330/12/201009905-2010-0286  ESTUPEFACIENTES,99052010028
428/12/201009905-2010-0282  ROBO,99052010028
528/12/201009905-2010-0283  TENTATIVA DE ROBO,99052010028
627/12/201009905-2010-0281  TENENCIA DE ARMAS,99052010028
722/12/201009905-2010-0280  FALSIFICACIONES,99052010028
No se encuentran resultados.,99052010031
125/01/201109905-2011-0019  ASESINATO,99052011001
221/01/201109905-2011-0018  ESTUPEFACIENTES,99052011001
320/01/201109905-2011-0015  OCULTACION DE BIENES,99052011001
420/01/201109905-2011-0016  ROBO,99052011001
